Date,NFLX,AAPL,TSLA
2016-06-28,0.56,0.1725,-0.02
2016-06-29,1.39,0.1075,1.012
2016-06-30,0.57,0.29,-0.138
2016-07-01,1.67,0.1,2.072
2016-07-05,2.71,-0.1,0.85
2016-07-06,-0.43,0.2325,0.888
2016-07-07,0.4,0.06,0.568
2016-07-08,1.06,0.0475,-0.204
2016-07-11,-1.52,0.0575,0.964
2016-07-12,0.9,0.0625,0.11
2016-07-13,0.17,-0.135,-0.594
2016-07-14,1.02,0.35,-0.318
2016-07-15,-0.13,-0.035,-0.424
2016-07-18,0.38,0.2825,1.322
2016-07-19,0.41,0.0775,0.052
2016-07-20,1.24,-0.01,0.378
2016-07-21,-2.31,-0.1,-1.1
2016-07-22,-0.59,-0.15,0.056
2016-07-25,1.93,-0.2275,1.548
2016-07-26,0.38,-0.0375,0.364
2016-07-27,0.54,-0.33,-0.17
2016-07-28,-0.27,0.3775,0.532
2016-07-29,0.06,0.005,0.818
2016-08-01,3.14,0.41,-1.098
2016-08-02,-0.44,-0.3925,-0.434
2016-08-03,-0.18,0.245,-0.316
2016-08-04,0.24,0.0725,0.984
2016-08-05,3.26,0.3025,0.006
2016-08-08,-0.8,0.2125,-0.368
2016-08-09,-1.13,0.145,0.452
2016-08-10,-0.47,-0.1775,-0.518
2016-08-11,1.29,-0.1475,-0.252
2016-08-12,1.06,0.1,0.04
2016-08-15,-1.52,0.335,-0.086
2016-08-16,-0.07,-0.0625,-0.376
2016-08-17,1.43,0.03,-0.218
2016-08-18,0.18,-0.0375,-0.062
2016-08-19,-0.18,0.1475,0.292
2016-08-22,-0.41,-0.0875,-0.248
2016-08-23,0.26,0.065,0.104
2016-08-24,-0.95,-0.135,-0.886
2016-08-25,0.94,0.045,-0.43
2016-08-26,0.25,-0.1175,-0.43
2016-08-29,0.33,0.05,-0.99
2016-08-30,-0.39,0.05,-0.954
2016-08-31,-0.03,0.11,0.316
2016-09-01,-0.43,0.1475,-1.648
2016-09-02,-0.52,0.0075,-0.91
2016-09-06,2.33,-0.05,0.762
2016-09-07,-0.96,0.1325,-0.758
2016-09-08,0.43,-0.4325,-0.438
2016-09-09,-2.56,-0.3775,-0.924
2016-09-12,3.14,0.6975,0.66
2016-09-13,-1.08,0.11,-0.202
2016-09-14,-0.34,0.76,0.132
2016-09-15,0.11,0.4275,0.786
2016-09-16,2.38,-0.05,0.996
2016-09-19,-1.84,-0.4025,-0.132
2016-09-20,-0.53,0.13,-0.442
2016-09-21,-2.02,-0.075,-0.23
2016-09-22,0.29,0.0675,0.006
2016-09-23,0.19,-0.4275,0.292
2016-09-26,-0.82,0.31,0.498
2016-09-27,2.03,0.0225,-0.768
2016-09-28,0.38,0.065,-0.248
2016-09-29,-0.64,-0.245,-0.98
2016-09-30,1.65,0.1475,0.364
2016-10-03,4.63,-0.0475,0.28
2016-10-04,-0.85,-0.015,-0.338
2016-10-05,2.78,-0.0875,-0.756
2016-10-06,0.1,0.0475,-0.292
2016-10-07,0.84,-0.0625,-0.878
2016-10-10,0.15,0.2575,-0.08
2016-10-11,-1.72,-0.35,-0.35
2016-10-12,-1.38,-0.0025,0.112
2016-10-13,2.22,0.0475,-0.052
2016-10-14,-0.12,-0.0625,-0.83
2016-10-17,-0.7,0.055,-0.618
2016-10-18,2.16,-0.1775,0.622
2016-10-19,3.62,-0.0325,0.764
2016-10-20,1.38,0.05,-0.604
2016-10-21,5.0,-0.0525,0.298
2016-10-24,-0.09,0.1375,0.352
2016-10-25,-0.01,0.075,-0.112
2016-10-26,0.68,0.32,0.248
2016-10-27,-0.96,-0.2275,-1.466
2016-10-28,0.49,-0.0375,-0.806
2016-10-31,-1.98,-0.0275,-0.952
2016-11-01,-1.68,-0.4925,-1.45
2016-11-02,-0.49,0.0475,-0.406
2016-11-03,-0.17,-0.2875,-0.316
2016-11-04,0.03,0.0775,0.312
2016-11-07,0.32,0.0825,-0.076
2016-11-08,0.22,0.1875,0.23
2016-11-09,0.35,0.25,0.636
2016-11-10,-7.34,-0.825,-1.14
2016-11-11,-0.12,0.3275,0.864
2016-11-14,-1.37,-0.5,-1.31
2016-11-15,-0.96,0.135,0.198
2016-11-16,2.23,0.8225,0.256
2016-11-17,-0.1,0.035,1.034
2016-11-18,-0.52,0.085,-1.126
2016-11-21,1.76,0.4025,-0.104
2016-11-22,-0.28,-0.0375,1.066
2016-11-23,-0.07,-0.0325,0.506
2016-11-25,-0.23,0.165,0.602
2016-11-28,-0.12,0.035,0.128
2016-11-29,0.21,0.17,-1.198
2016-11-30,-2.0,-0.27,-0.32
2016-12-01,-0.3,-0.22,-1.274
2016-12-02,4.06,0.1825,-0.282
2016-12-05,-1.57,-0.2225,0.858
2016-12-06,4.47,0.1125,0.066
2016-12-07,0.91,0.4425,1.4
2016-12-08,-2.16,0.315,0.048
2016-12-09,-0.9,0.41,0.262
2016-12-12,-0.01,0.0025,-0.074
2016-12-13,0.27,0.3375,0.994
2016-12-14,0.01,0.0375,-0.01
2016-12-15,1.56,0.11,-0.166
2016-12-16,-2.17,-0.125,0.882
2016-12-19,1.15,0.21,0.048
2016-12-20,-0.34,0.0525,1.148
2016-12-21,0.97,0.065,-0.15
2016-12-22,-1.26,-0.015,0.046
2016-12-23,-0.02,0.2325,1.068
2016-12-27,2.11,0.185,0.93
2016-12-28,-3.18,-0.19,-0.358
2016-12-29,-0.62,0.07,-0.776
2016-12-30,-2.44,-0.2075,-0.522
2017-01-03,2.53,0.0875,0.426
2017-01-04,1.92,0.0425,2.448
2017-01-05,2.59,0.1725,0.066
2017-01-06,-1.01,0.2825,0.416
2017-01-09,-0.53,0.26,0.462
2017-01-10,-1.38,0.085,-0.426
2017-01-11,-0.41,0.2525,0.132
2017-01-12,-1.45,0.0875,0.106
2017-01-13,2.55,-0.0175,1.55
2017-01-17,-2.15,0.415,-0.224
2017-01-18,0.05,-0.0025,0.342
2017-01-19,-3.6,0.095,-0.698
2017-01-20,-0.76,-0.1125,-0.146
2017-01-23,-1.26,0.02,0.614
2017-01-24,2.0,0.105,0.922
2017-01-25,-1.28,0.365,-0.568
2017-01-26,-1.49,0.0675,-0.356
2017-01-27,2.99,-0.0475,0.314
2017-01-30,-0.55,0.175,-0.38
2017-01-31,0.16,0.05,0.538
2017-02-01,-0.42,0.43,-0.762
2017-02-02,-1.41,0.1375,0.642
2017-02-03,0.74,0.1925,-0.116
2017-02-06,0.97,0.29,1.354
2017-02-07,2.51,0.2475,-0.142
2017-02-08,1.17,0.1725,0.946
2017-02-09,-0.84,0.1925,0.59
2017-02-10,0.14,-0.085,-0.112
2017-02-13,-1.99,0.0525,1.972
2017-02-14,-2.38,0.3875,0.39
2017-02-15,1.55,-0.0025,-0.048
2017-02-16,-0.41,-0.08,-1.73
2017-02-17,0.47,0.155,1.286
2017-02-21,-0.39,0.1175,0.388
2017-02-22,0.94,0.17,-1.36
2017-02-23,-1.67,-0.2125,-1.602
2017-02-24,1.37,0.1875,0.868
2017-02-27,0.29,-0.0525,-0.388
2017-02-28,-1.17,-0.0225,1.16
2017-03-01,-0.19,0.475,-0.832
